Title,Price,Location,Condition
Apple iPhone 15 Pro Max 512GB Tytan Naturalny,4 499 zł,"Gdańsk, Zaspa Rozstaje - 24 kwietnia 2025",Używane
Iphone 11 64GB 100% baterii nowa / Cały sprawny,550 zł,"Gdańsk, Piecki-Migowo - 24 kwietnia 2025",Używane
iPhone 11 128GB jak nowy! Cały zestaw,600 złdo negocjacji,Kościerzyna - 28 kwietnia 2025,Używane
Iphone 11 64GB/ White/ Biały/ Bateria 100%/ Gwarancja/ Grade A- + łado,1 099 zł,"Gdynia, Śródmieście - Odświeżono Dzisiaj o 18:44",Używane
Iphone 13 256GB/ Blue/ Bat 82%/ Grade B+/ Gwarancja + ładowarka,1 499 zł,"Gdynia, Śródmieście - Odświeżono Dzisiaj o 18:44",Używane
Iphone 11 128GB/ White/ Biały/ BAT 84%/ Grade B+/ Gwarancja,899 zł,"Gdynia, Śródmieście - Odświeżono Dzisiaj o 18:44",Używane
Iphone 16 PRO MAX 256GB/ Black Titanium/ A3296/ GW12/ BEZ RAT!,5 099 zł,"Gdynia, Śródmieście - Dzisiaj o 18:14",Nowe
SPRZEDAM Iphone 13 256 GB,1 500 złdo negocjacji,Reda - Dzisiaj o 18:07,Używane
Iphone 15 128GB STAN IDEALNY,2 150 złdo negocjacji,"Gdańsk, Zaspa Młyniec - Dzisiaj o 18:06",Używane
Iphone 14 Plus 256 GB wraz z dodatkami!,2 000 złdo negocjacji,Starogard Gdański - Dzisiaj o 18:01,Używane
iPHONE 11 64GB bateria 83%,400 zł,"Gdańsk, Piecki-Migowo - Dzisiaj o 17:58",Używane
Iphone 14 128GB/ Blue/ Niebieski/ A2882/ GW12/ z Apple Store,2 299 zł,"Gdynia, Śródmieście - Dzisiaj o 17:44",Nowe
Iphone 13 pro 128GB gold,1 499 zł,"Gdańsk, Śródmieście - Dzisiaj o 17:34",Używane
iPhone 13 Pro Max 128GB w Idealnym stanie,2 250 zł,"Gdynia, Śródmieście - Odświeżono dnia 01 maja 2025",Używane
Iphone 15 128 GB,2 150 złdo negocjacji,"Gdynia, Obłuże - 30 kwietnia 2025",Używane
IPhone 16 pro 512 gb,4 900 zł,"Gdańsk, Kokoszki - Odświeżono Dzisiaj o 16:53",Używane
